seqid	start	end	strand	gene_id	description
Chr1	25330551	25331828	+	Sdiv_ptg000014l_2721-R	Similar to REL2: Protein ROLLING AND ERECT LEAF 2 (Oryza sativa subsp. japonica)
Chr1	25332523	25332789	+	Sdiv_ptg000014l_2722-R	Protein of unknown function
Chr1	25332792	25333373	+	Sdiv_ptg000014l_2723-R	Protein of unknown function
Chr1	25333407	25335117	-	Sdiv_ptg000014l_2724-R	Similar to ABA2: Xanthoxin dehydrogenase (Arabidopsis thaliana)
Chr1	25336072	25336317	-	Sdiv_ptg000014l_2725-R	Protein of unknown function
Chr1	25344415	25345920	-	Sdiv_ptg000014l_2726-R	Protein of unknown function
Chr1	25360081	25361277	-	Sdiv_ptg000014l_2727-R	Protein of unknown function
Chr1	25365090	25371741	+	Sdiv_ptg000014l_2728-R	Similar to At1g52360: Coatomer subunit beta'-2 (Arabidopsis thaliana)
Chr1	25372906	25374222	+	Sdiv_ptg000014l_2729-R	Similar to NUP50A: Nuclear pore complex protein NUP50A (Arabidopsis thaliana)
Chr1	25380880	25383822	+	Sdiv_ptg000014l_2730-R	Similar to BGLU18: Beta-D-glucopyranosyl abscisate beta-glucosidase (Arabidopsis thaliana)
Chr1	25387308	25392158	+	Sdiv_ptg000014l_2731-R	Similar to TSA1: TSK-associating protein 1 (Arabidopsis thaliana)
Chr1	25393291	25396071	+	Sdiv_ptg000014l_2732-R	Similar to FRS6: Protein FAR1-RELATED SEQUENCE 6 (Arabidopsis thaliana)
Chr1	25396391	25398115	+	Sdiv_ptg000014l_2733-R	Similar to hus1: Checkpoint protein hus1 homolog (Dictyostelium discoideum)
Chr1	25398310	25400129	-	Sdiv_ptg000014l_2734-R	Similar to At3g15890: PTI1-like tyrosine-protein kinase At3g15890 (Arabidopsis thaliana)
Chr1	25401848	25402957	-	Sdiv_ptg000014l_2735-R	Protein of unknown function
Chr1	25406420	25406951	-	Sdiv_ptg000014l_2736-R	Protein of unknown function
Chr1	25408245	25411070	-	Sdiv_ptg000014l_2737-R	Similar to PLDALPHA2: Phospholipase D alpha 2 (Arabidopsis thaliana)
Chr1	25411960	25412303	-	Sdiv_ptg000014l_2738-R	Protein of unknown function
Chr1	25412173	25413569	+	Sdiv_ptg000014l_2739-R	Similar to RBL5: RHOMBOID-like protein 5 (Arabidopsis thaliana)
Chr1	25412689	25413671	-	Sdiv_ptg000014l_2740-R	Protein of unknown function
Chr1	25413835	25414965	-	Sdiv_ptg000014l_2741-R	Similar to At1g52590: DCC family protein At1g52590%2C chloroplastic (Arabidopsis thaliana)
Chr1	25415100	25417087	+	Sdiv_ptg000014l_2742-R	Similar to SEC11C: Signal peptidase complex catalytic subunit SEC11C (Pongo abelii)
Chr1	25418552	25421050	+	Sdiv_ptg000014l_2743-R	Similar to At1g52620: Pentatricopeptide repeat-containing protein At1g52620 (Arabidopsis thaliana)
Chr1	25419664	25423462	-	Sdiv_ptg000014l_2744-R	Similar to OFUT13: O-fucosyltransferase 13 (Arabidopsis thaliana)
Chr1	25670594	25673099	-	Sdiv_ptg000014l_2745-R	Similar to BCCP2: Biotin carboxyl carrier protein of acetyl-CoA carboxylase 2%2C chloroplastic (Arabidopsis thaliana)
Chr1	25674040	25674853	-	Sdiv_ptg000014l_2746-R	Protein of unknown function
Chr1	25675559	25676594	+	Sdiv_ptg000014l_2747-R	Similar to LEA7: Late embryogenesis abundant protein 7 (Arabidopsis thaliana)
Chr1	25677626	25680028	-	Sdiv_ptg000014l_2748-R	Similar to LYPLA2: Acyl-protein thioesterase 2 (Homo sapiens)
Chr1	25687117	25687494	+	Sdiv_ptg000014l_2749-R	Protein of unknown function
Chr1	25688922	25691876	+	Sdiv_ptg000014l_2750-R	Similar to strap: Serine-threonine kinase receptor-associated protein (Dictyostelium discoideum)
Chr1	25691962	25693164	+	Sdiv_ptg000014l_2751-R	Similar to At1g52740: Probable histone H2A variant 3 (Arabidopsis thaliana)
Chr1	25693548	25696130	-	Sdiv_ptg000014l_2752-R	Similar to yugF: Uncharacterized hydrolase YugF (Bacillus subtilis (strain 168))
Chr1	25698271	25699404	+	Sdiv_ptg000014l_2753-R	Similar to CSE: Caffeoylshikimate esterase (Arabidopsis thaliana)
Chr1	25701142	25702764	+	Sdiv_ptg000014l_2754-R	Similar to CPT1: Coleoptile phototropism protein 1 (Oryza sativa subsp. japonica)
Chr1	25705928	25707401	+	Sdiv_ptg000014l_2755-R	Protein of unknown function
Chr1	25715807	25716391	-	Sdiv_ptg000014l_2756-R	Protein of unknown function
Chr1	25716539	25717679	+	Sdiv_ptg000014l_2757-R	Similar to AOP1.2: Probable 2-oxoglutarate-dependent dioxygenase AOP1.2 (Arabidopsis thaliana)
Chr1	25717061	25717412	-	Sdiv_ptg000014l_2758-R	Protein of unknown function
Chr1	25719436	25720571	-	Sdiv_ptg000014l_2759-R	Similar to IAA6: Auxin-responsive protein IAA6 (Arabidopsis thaliana)
Chr1	25722728	25723166	-	Sdiv_ptg000014l_2760-R	Protein of unknown function
Chr1	25725723	25727476	+	Sdiv_ptg000014l_2761-R	Protein of unknown function
Chr1	25729406	25730533	-	Sdiv_ptg000014l_2762-R	Protein of unknown function
Chr1	25734429	25735907	+	Sdiv_ptg000014l_2763-R	Similar to NAC019: NAC domain-containing protein 19 (Arabidopsis thaliana)
Chr1	25742885	25744207	+	Sdiv_ptg000014l_2764-R	Similar to NAC018: NAC domain-containing protein 18 (Arabidopsis thaliana)
Chr1	25751188	25755031	+	Sdiv_ptg000014l_2765-R	Similar to NUG2: Nuclear/nucleolar GTPase 2 (Arabidopsis thaliana)
Chr1	25755225	25755350	+	Sdiv_ptg000014l_2766-R	Protein of unknown function
Chr1	25760712	25762990	-	Sdiv_ptg000014l_2767-R	Similar to KDSB: 3-deoxy-manno-octulosonate cytidylyltransferase%2C mitochondrial (Arabidopsis thaliana)
Chr1	25763724	25766273	-	Sdiv_ptg000014l_2768-R	Similar to UBC26: Probable ubiquitin-conjugating enzyme E2 26 (Arabidopsis thaliana)
Chr1	25767072	25768245	-	Sdiv_ptg000014l_2769-R	Similar to COX17-2: Cytochrome c oxidase copper chaperone 2 (Arabidopsis thaliana)
Chr1	25769594	25772570	-	Sdiv_ptg000014l_2770-R	Similar to MUCI70: Probable hexosyltransferase MUCI70 (Arabidopsis thaliana)
Chr1	25774714	25778536	+	Sdiv_ptg000014l_2771-R	Similar to At1g09600: Probable serine/threonine-protein kinase At1g09600 (Arabidopsis thaliana)
Chr1	25782972	25786270	+	Sdiv_ptg000014l_2772-R	Similar to SPA4: Protein SPA1-RELATED 4 (Arabidopsis thaliana)
Chr1	25786046	25787375	-	Sdiv_ptg000014l_2773-R	Similar to GLCAT14A: Beta-glucuronosyltransferase GlcAT14A (Arabidopsis thaliana)
Chr1	25788738	25790666	+	Sdiv_ptg000014l_2774-R	Similar to PPI4: Proton pump-interactor 4 (Arabidopsis thaliana)
Chr1	25791254	25793461	+	Sdiv_ptg000014l_2775-R	Similar to ylmH: Putative RNA-binding protein YlmH (Bacillus subtilis (strain 168))
Chr1	25795610	25798996	+	Sdiv_ptg000014l_2776-R	Similar to DRP5A: Dynamin-related protein 5A (Arabidopsis thaliana)
Chr1	25800777	25803755	-	Sdiv_ptg000014l_2777-R	Protein of unknown function
Chr1	25801983	25802626	+	Sdiv_ptg000014l_2778-R	Similar to SPL5: Squamosa promoter-binding-like protein 5 (Arabidopsis thaliana)
Chr1	25807276	25813246	+	Sdiv_ptg000014l_2779-R	Similar to svkA: Serine/threonine-protein kinase svkA (Dictyostelium discoideum)
Chr1	25823916	25825133	+	Sdiv_ptg000014l_2780-R	Protein of unknown function
Chr1	25829200	25829648	+	Sdiv_ptg000014l_2781-R	Protein of unknown function
Chr1	25830132	25832396	+	Sdiv_ptg000014l_2782-R	Similar to ZFP1: Probable E3 ubiquitin-protein ligase ZFP1 (Oryza sativa subsp. japonica)
Chr1	25834620	25837735	+	Sdiv_ptg000014l_2783-R	Similar to NCL: Sodium/calcium exchanger NCL (Arabidopsis thaliana)
Chr1	25839270	25839539	-	Sdiv_ptg000014l_2784-R	Protein of unknown function
Chr1	25842367	25844813	-	Sdiv_ptg000014l_2785-R	Similar to At1g53240: Malate dehydrogenase 1%2C mitochondrial (Arabidopsis thaliana)
Chr1	25846189	25848324	-	Sdiv_ptg000014l_2786-R	Similar to UBA2C: UBP1-associated protein 2C (Arabidopsis thaliana)
Chr1	25852307	25854450	+	Sdiv_ptg000014l_2787-R	Similar to B3GALT14: Probable beta-1%2C3-galactosyltransferase 14 (Arabidopsis thaliana)
Chr1	25854839	25859287	-	Sdiv_ptg000014l_2788-R	Similar to PPC1: Phosphoenolpyruvate carboxylase 1 (Arabidopsis thaliana)
Chr1	25854962	25855169	+	Sdiv_ptg000014l_2789-R	Protein of unknown function
Chr1	25861635	25864161	-	Sdiv_ptg000014l_2790-R	Similar to TULP7: Tubby-like F-box protein 7 (Arabidopsis thaliana)
Chr1	25865821	25867238	+	Sdiv_ptg000014l_2791-R	Similar to MIMI_R106: Uncharacterized protein R106 (Acanthamoeba polyphaga mimivirus)
Chr1	25870310	25871671	-	Sdiv_ptg000014l_2792-R	Similar to GIL1: Protein GRAVITROPIC IN THE LIGHT 1 (Arabidopsis thaliana)
Chr1	25872929	25873048	-	Sdiv_ptg000014l_2793-R	Protein of unknown function
Chr1	25877402	25882470	+	Sdiv_ptg000014l_2794-R	Similar to ABCG24: ABC transporter G family member 24 (Arabidopsis thaliana)
Chr1	25883191	25883442	+	Sdiv_ptg000014l_2795-R	Protein of unknown function
Chr1	25883522	25885810	+	Sdiv_ptg000014l_2796-R	Similar to ubtd2: Ubiquitin domain-containing protein 2 (Danio rerio)
Chr1	25885707	25886471	-	Sdiv_ptg000014l_2797-R	Similar to At1g53420: Probable LRR receptor-like serine/threonine-protein kinase At1g53420 (Arabidopsis thaliana)
Chr1	25886771	25890864	-	Sdiv_ptg000014l_2798-R	Similar to At1g53420: Probable LRR receptor-like serine/threonine-protein kinase At1g53420 (Arabidopsis thaliana)
Chr1	25893586	25899640	+	Sdiv_ptg000014l_2799-R	Similar to At1g53430: Probable LRR receptor-like serine/threonine-protein kinase At1g53430 (Arabidopsis thaliana)
Chr1	25899501	25904200	-	Sdiv_ptg000014l_2800-R	Protein of unknown function
Chr1	25904839	25906587	-	Sdiv_ptg000014l_2801-R	Similar to PLA2-ALPHA: Phospholipase A2-alpha (Arabidopsis thaliana)
Chr1	25909807	25911512	+	Sdiv_ptg000014l_2802-R	Similar to MSL4: Mechanosensitive ion channel protein 4 (Arabidopsis thaliana)
Chr1	25913441	25915551	+	Sdiv_ptg000014l_2803-R	Similar to HEI10: E3 ubiquitin-protein ligase CCNB1IP1 homolog (Arabidopsis thaliana)
Chr1	25915978	25918074	-	Sdiv_ptg000014l_2804-R	Similar to RHM2: Trifunctional UDP-glucose 4%2C6-dehydratase/UDP-4-keto-6-deoxy-D-glucose 3%2C5-epimerase/UDP-4-keto-L-rhamnose-reductase RHM2 (Arabidopsis thaliana)
Chr1	25920555	25922213	-	Sdiv_ptg000014l_2805-R	Similar to FAP3: Fatty-acid-binding protein 3%2C chloroplastic (Arabidopsis thaliana)
Chr1	25923230	25926844	-	Sdiv_ptg000014l_2806-R	Similar to HSP70-15: Heat shock 70 kDa protein 15 (Arabidopsis thaliana)
Chr1	25928351	25929420	-	Sdiv_ptg000014l_2807-R	Similar to At1g29970: 60S ribosomal protein L18a-like protein (Arabidopsis thaliana)
Chr1	25929771	25931864	-	Sdiv_ptg000014l_2808-R	Similar to GLY3: Persulfide dioxygenase ETHE1 homolog%2C mitochondrial (Arabidopsis thaliana)
Chr1	25933541	25937387	+	Sdiv_ptg000014l_2809-R	Similar to NTMC2T6.1: C2 domain-containing protein At1g53590 (Arabidopsis thaliana)
Chr1	25956636	25962525	-	Sdiv_ptg000014l_2810-R	Similar to CID8: Polyadenylate-binding protein-interacting protein 8 (Arabidopsis thaliana)
Chr1	25965315	25967305	-	Sdiv_ptg000014l_2811-R	Similar to MSRB1: Peptide methionine sulfoxide reductase B1%2C chloroplastic (Arabidopsis thaliana)
Chr1	25975725	25976987	-	Sdiv_ptg000014l_2812-R	Similar to NRPB12: DNA-directed RNA polymerases II%2C IV and V subunit 12 (Arabidopsis thaliana)
Chr1	25982488	25983118	-	Sdiv_ptg000014l_2813-R	Similar to At4g26485: Uncharacterized protein At4g26485 (Arabidopsis thaliana)
Chr1	25985473	25986957	+	Sdiv_ptg000014l_2814-R	Similar to WAG1: Serine/threonine-protein kinase WAG1 (Arabidopsis thaliana)
Chr1	25988043	25992007	-	Sdiv_ptg000014l_2815-R	Similar to SPAC630.12: Uncharacterized protein C630.12 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
Chr1	25996617	26000975	+	Sdiv_ptg000014l_2816-R	Similar to SRF6: Protein STRUBBELIG-RECEPTOR FAMILY 6 (Arabidopsis thaliana)
Chr1	26000884	26003481	-	Sdiv_ptg000014l_2817-R	Similar to RPT1A: 26S proteasome regulatory subunit 7 homolog A (Arabidopsis thaliana)
Chr1	26004301	26004785	-	Sdiv_ptg000014l_2818-R	Similar to RPT1A: 26S proteasome regulatory subunit 7 homolog A (Arabidopsis thaliana)
Chr1	26004910	26007117	-	Sdiv_ptg000014l_2819-R	Similar to SPAC23H3.12c: Uncharacterized protein C23H3.12c (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
Chr1	26007416	26007857	-	Sdiv_ptg000014l_2820-R	Protein of unknown function
Chr1	26010239	26013428	+	Sdiv_ptg000014l_2821-R	Protein of unknown function
Chr1	26019237	26024890	+	Sdiv_ptg000014l_2822-R	Similar to PME2: Pectinesterase 2 (Arabidopsis thaliana)
Chr1	26025109	26027659	-	Sdiv_ptg000014l_2823-R	Similar to PAE1: Proteasome subunit alpha type-5-A (Arabidopsis thaliana)
Chr1	26028279	26030724	-	Sdiv_ptg000014l_2824-R	Protein of unknown function
Chr1	26031797	26032581	+	Sdiv_ptg000014l_2825-R	Similar to At1g53890: Protein LURP-one-related 3 (Arabidopsis thaliana)
Chr1	26032737	26034767	+	Sdiv_ptg000014l_2826-R	Similar to eif2b1: Translation initiation factor eIF-2B subunit alpha (Dictyostelium discoideum)
Chr1	26035808	26036447	+	Sdiv_ptg000014l_2827-R	Similar to FLZ18: FCS-Like Zinc finger 18 (Arabidopsis thaliana)
Chr1	26038439	26040623	+	Sdiv_ptg000014l_2828-R	Similar to RAP2-12: Ethylene-responsive transcription factor RAP2-12 (Arabidopsis thaliana)
Chr1	26041596	26043715	+	Sdiv_ptg000014l_2829-R	Similar to GLIP5: GDSL esterase/lipase 5 (Arabidopsis thaliana)
Chr1	26050215	26052379	-	Sdiv_ptg000014l_2830-R	Similar to GLL23: Inactive GDSL esterase/lipase-like protein 23 (Arabidopsis thaliana)
Chr1	26056863	26058462	+	Sdiv_ptg000014l_2831-R	Similar to MVP1: Inactive GDSL esterase/lipase-like protein 25 (Arabidopsis thaliana)
Chr1	26060283	26060793	-	Sdiv_ptg000014l_2832-R	Similar to HSP17.4B: 17.4 kDa class III heat shock protein (Arabidopsis thaliana)
Chr1	26061836	26062918	+	Sdiv_ptg000014l_2833-R	Similar to ASIL1: Trihelix transcription factor ASIL1 (Arabidopsis thaliana)
Chr1	26063503	26064611	+	Sdiv_ptg000014l_2834-R	Similar to At1g54070: Dormancy-associated protein homolog 4 (Arabidopsis thaliana)
Chr1	26065648	26069031	-	Sdiv_ptg000014l_2835-R	Similar to UBP1A: Oligouridylate-binding protein 1A (Arabidopsis thaliana)
Chr1	26073540	26074220	+	Sdiv_ptg000014l_2836-R	Protein of unknown function
Chr1	26075597	26079737	-	Sdiv_ptg000014l_2837-R	Similar to ALDH7B4: Aldehyde dehydrogenase family 7 member B4 (Arabidopsis thaliana)
Chr1	26080431	26082371	+	Sdiv_ptg000014l_2838-R	Similar to CCX4: Cation/calcium exchanger 4 (Arabidopsis thaliana)
Chr1	26084403	26084777	+	Sdiv_ptg000014l_2839-R	Protein of unknown function
Chr1	26087270	26090052	+	Sdiv_ptg000014l_2840-R	Similar to RSH3: Probable GTP diphosphokinase RSH3%2C chloroplastic (Arabidopsis thaliana)
Chr1	26092333	26094618	+	Sdiv_ptg000014l_2841-R	Similar to SPL2: E3 ubiquitin-protein ligase SPL2 (Arabidopsis thaliana)
Chr1	26093260	26093726	-	Sdiv_ptg000014l_2842-R	Protein of unknown function
Chr1	26094438	26096210	-	Sdiv_ptg000014l_2843-R	Similar to NFYA5: Nuclear transcription factor Y subunit A-5 (Arabidopsis thaliana)
Chr1	26098403	26102520	-	Sdiv_ptg000014l_2844-R	Similar to CID3: Polyadenylate-binding protein-interacting protein 3 (Arabidopsis thaliana)
Chr1	26107220	26112849	+	Sdiv_ptg000014l_2845-R	Similar to GIP1: GBF-interacting protein 1 (Arabidopsis thaliana)
Chr1	26123013	26124389	+	Sdiv_ptg000014l_2846-R	Similar to ATG12A: Ubiquitin-like protein ATG12A (Arabidopsis thaliana)
Chr1	26124757	26138374	+	Sdiv_ptg000014l_2847-R	Similar to Ecpas: Proteasome adapter and scaffold protein ECM29 (Mus musculus)
Chr1	26140114	26141768	-	Sdiv_ptg000014l_2848-R	Protein of unknown function
Chr1	26142947	26147191	-	Sdiv_ptg000014l_2849-R	Similar to At1g54220: Dihydrolipoyllysine-residue acetyltransferase component 3 of pyruvate dehydrogenase complex%2C mitochondrial (Arabidopsis thaliana)
Chr1	26147137	26148833	+	Sdiv_ptg000014l_2850-R	Similar to NRPB8B: DNA-directed RNA polymerases II%2C IV and V subunit 8B (Arabidopsis thaliana)
Chr1	26150848	26152949	+	Sdiv_ptg000014l_2851-R	Similar to EIF4A1: Eukaryotic initiation factor 4A-1 (Arabidopsis thaliana)
Chr1	26153611	26158503	-	Sdiv_ptg000014l_2852-R	Similar to ALA6: Phospholipid-transporting ATPase 6 (Arabidopsis thaliana)
Chr1	26159646	26159840	-	Sdiv_ptg000014l_2853-R	Protein of unknown function
Chr1	26159817	26161540	-	Sdiv_ptg000014l_2854-R	Similar to At1g54290: Protein translation factor SUI1 homolog 2 (Arabidopsis thaliana)
Chr1	26163042	26165084	+	Sdiv_ptg000014l_2855-R	Similar to RHD3: Protein ROOT HAIR DEFECTIVE 3 (Arabidopsis thaliana)
Chr1	26164970	26166303	-	Sdiv_ptg000014l_2856-R	Similar to MED9: Mediator of RNA polymerase II transcription subunit 9 (Arabidopsis thaliana)
Chr1	26166529	26171292	+	Sdiv_ptg000014l_2857-R	Similar to At1g55090: Glutamine-dependent NAD(+) synthetase (Arabidopsis thaliana)
Chr1	26181739	26184302	-	Sdiv_ptg000014l_2858-R	Similar to IDD7: Protein indeterminate-domain 7 (Arabidopsis thaliana)
Chr1	26189883	26192771	+	Sdiv_ptg000014l_2859-R	Similar to RH20: DEAD-box ATP-dependent RNA helicase 20 (Arabidopsis thaliana)
Chr1	26193517	26195232	+	Sdiv_ptg000014l_2860-R	Protein of unknown function
Chr1	26197014	26197650	+	Sdiv_ptg000014l_2861-R	Similar to ORTH3: E3 ubiquitin-protein ligase ORTHRUS 3 (Arabidopsis thaliana)
Chr1	26197985	26198798	+	Sdiv_ptg000014l_2862-R	Similar to ORTH2: E3 ubiquitin-protein ligase ORTHRUS 2 (Arabidopsis thaliana)
Chr1	26199177	26200293	+	Sdiv_ptg000014l_2863-R	Protein of unknown function
Chr1	26203425	26203783	-	Sdiv_ptg000014l_2864-R	Protein of unknown function
Chr1	26204471	26205040	+	Sdiv_ptg000014l_2865-R	Similar to PRA1F2: PRA1 family protein F2 (Arabidopsis thaliana)
Chr1	26205136	26208336	-	Sdiv_ptg000014l_2866-R	Similar to SELMODRAFT_444075: Inactive protein kinase SELMODRAFT_444075 (Selaginella moellendorffii)
Chr1	26210427	26211822	+	Sdiv_ptg000014l_2867-R	Protein of unknown function
Chr1	26212802	26213368	-	Sdiv_ptg000014l_2868-R	Similar to DIR20: Dirigent protein 20 (Arabidopsis thaliana)
Chr1	26219682	26220031	+	Sdiv_ptg000014l_2869-R	Similar to HUB2: E3 ubiquitin-protein ligase BRE1-like 2 (Arabidopsis thaliana)
Chr1	26220655	26221107	+	Sdiv_ptg000014l_2870-R	Protein of unknown function
Chr1	26226945	26229172	-	Sdiv_ptg000014l_2871-R	Similar to At1g55270: F-box/kelch-repeat protein At1g55270 (Arabidopsis thaliana)
Chr1	26231803	26233413	-	Sdiv_ptg000014l_2872-R	Protein of unknown function
Chr1	26233892	26235663	-	Sdiv_ptg000014l_2873-R	Similar to TAF7: Transcription initiation factor TFIID subunit 7 (Arabidopsis thaliana)
Chr1	26236135	26236758	+	Sdiv_ptg000014l_2874-R	Protein of unknown function
Chr1	26242362	26245597	+	Sdiv_ptg000014l_2875-R	Similar to RBOHC: Respiratory burst oxidase homolog protein C (Arabidopsis thaliana)
Chr1	26246300	26256362	+	Sdiv_ptg000014l_2876-R	Similar to MED13: Mediator of RNA polymerase II transcription subunit 13 (Arabidopsis thaliana)
Chr1	26255932	26257142	+	Sdiv_ptg000014l_2877-R	Protein of unknown function
Chr1	26261848	26264073	+	Sdiv_ptg000014l_2878-R	Protein of unknown function
Chr1	26263995	26274561	-	Sdiv_ptg000014l_2879-R	Similar to DEK1: Calpain-type cysteine protease DEK1 (Arabidopsis thaliana)
Chr1	26276755	26279543	-	Sdiv_ptg000014l_2880-R	Protein of unknown function
Chr1	26283054	26283446	-	Sdiv_ptg000014l_2881-R	Protein of unknown function
Chr1	26286868	26288716	+	Sdiv_ptg000014l_2882-R	Similar to MET1: Protein MET1%2C chloroplastic (Arabidopsis thaliana)
Chr1	26288732	26292443	-	Sdiv_ptg000014l_2883-R	Similar to CPN60B1: Chaperonin 60 subunit beta 1%2C chloroplastic (Arabidopsis thaliana)
Chr1	26293907	26296360	+	Sdiv_ptg000014l_2884-R	Similar to BCDH BETA1: 2-oxoisovalerate dehydrogenase subunit beta 1%2C mitochondrial (Arabidopsis thaliana)
Chr1	26296538	26299111	-	Sdiv_ptg000014l_2885-R	Similar to TBP2: TATA-box-binding protein 2 (Arabidopsis thaliana)
Chr1	26300676	26302245	-	Sdiv_ptg000014l_2886-R	Protein of unknown function
Chr1	26305341	26308681	+	Sdiv_ptg000014l_2887-R	Similar to KIN14T: Kinesin-like protein KIN-14T (Arabidopsis thaliana)
Chr1	26310003	26311962	-	Sdiv_ptg000014l_2888-R	Similar to Bp10: L-ascorbate oxidase homolog (Brassica napus)
Chr1	26325896	26328529	-	Sdiv_ptg000014l_2889-R	Similar to ATB: F-box protein At-B (Arabidopsis thaliana)
Chr1	26329067	26331223	-	Sdiv_ptg000014l_2890-R	Similar to WRKY10: Probable WRKY transcription factor 10 (Arabidopsis thaliana)
Chr1	26336669	26338444	+	Sdiv_ptg000014l_2891-R	Similar to HMGB11: Putative high mobility group B protein 11 (Arabidopsis thaliana)
Chr1	26338902	26339387	-	Sdiv_ptg000014l_2892-R	Similar to PSAG: Photosystem I reaction center subunit V%2C chloroplastic (Arabidopsis thaliana)
Chr1	26339560	26347544	-	Sdiv_ptg000014l_2893-R	Similar to SFH13: Phosphatidylinositol/phosphatidylcholine transfer protein SFH13 (Arabidopsis thaliana)
Chr1	26350173	26353692	-	Sdiv_ptg000014l_2894-R	Similar to CAX5: Vacuolar cation/proton exchanger 5 (Arabidopsis thaliana)
Chr1	26354075	26357772	-	Sdiv_ptg000014l_2895-R	Similar to RFS1: Probable galactinol--sucrose galactosyltransferase 1 (Arabidopsis thaliana)
Chr1	26358803	26360530	-	Sdiv_ptg000014l_2896-R	Similar to At1g55760: BTB/POZ domain-containing protein At1g55760 (Arabidopsis thaliana)
Chr1	26360099	26360856	+	Sdiv_ptg000014l_2897-R	Protein of unknown function
Chr1	26365201	26365698	-	Sdiv_ptg000014l_2898-R	Similar to BOLA1: Protein BOLA1%2C chloroplastic (Arabidopsis thaliana)
Chr1	26366453	26369953	+	Sdiv_ptg000014l_2899-R	Similar to GIP1L: GBF-interacting protein 1-like (Arabidopsis thaliana)
Chr1	26370876	26371184	-	Sdiv_ptg000014l_2900-R	Protein of unknown function
Chr1	26371831	26374548	+	Sdiv_ptg000014l_2901-R	Similar to SEC14: SEC14 cytosolic factor (Saccharomyces cerevisiae (strain ATCC 204508 / S288c))
Chr1	26375294	26375659	+	Sdiv_ptg000014l_2902-R	Similar to CSLE1: Cellulose synthase-like protein E1 (Arabidopsis thaliana)
Chr1	26376606	26379181	+	Sdiv_ptg000014l_2903-R	Similar to CSLE1: Cellulose synthase-like protein E1 (Arabidopsis thaliana)
Chr1	26379209	26393032	-	Sdiv_ptg000014l_2904-R	Similar to UPL1: E3 ubiquitin-protein ligase UPL1 (Arabidopsis thaliana)
Chr1	26393507	26395303	-	Sdiv_ptg000014l_2905-R	Protein of unknown function
Chr1	26393887	26394180	+	Sdiv_ptg000014l_2906-R	Protein of unknown function
Chr1	26395469	26398893	+	Sdiv_ptg000014l_2907-R	Similar to PARN: Poly(A)-specific ribonuclease PARN (Arabidopsis thaliana)
Chr1	26398475	26398885	-	Sdiv_ptg000014l_2908-R	Protein of unknown function
Chr1	26399303	26401271	-	Sdiv_ptg000014l_2909-R	Similar to cys12: Cysteine synthase 2 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
Chr1	26403599	26406151	+	Sdiv_ptg000014l_2910-R	Similar to TIM50: Mitochondrial import inner membrane translocase subunit TIM50 (Arabidopsis thaliana)
Chr1	26406674	26408122	+	Sdiv_ptg000014l_2911-R	Similar to ZIP11: Zinc transporter 11 (Arabidopsis thaliana)
Chr1	26409416	26410387	+	Sdiv_ptg000014l_2912-R	Similar to SAT3: Serine acetyltransferase 3%2C mitochondrial (Arabidopsis thaliana)
Chr1	26410624	26414038	+	Sdiv_ptg000014l_2913-R	Similar to CBSDUFCH2: DUF21 domain-containing protein At1g55930%2C chloroplastic (Arabidopsis thaliana)
Chr1	26415339	26416335	-	Sdiv_ptg000014l_2914-R	Similar to HAC4: Histone acetyltransferase HAC4 (Arabidopsis thaliana)
Chr1	26418597	26421289	-	Sdiv_ptg000014l_2915-R	Similar to HAC5: Histone acetyltransferase HAC5 (Arabidopsis thaliana)
Chr1	26422872	26425158	-	Sdiv_ptg000014l_2916-R	Similar to NAC021: NAC domain-containing protein 21/22 (Arabidopsis thaliana)
Chr1	26427781	26428545	+	Sdiv_ptg000014l_2917-R	Protein of unknown function
Chr1	26435554	26437810	+	Sdiv_ptg000014l_2918-R	Similar to ychF: Ribosome-binding ATPase YchF (Bacillus subtilis (strain 168))
Chr1	26440402	26443760	-	Sdiv_ptg000014l_2919-R	Similar to LOS1: Elongation factor 2 (Arabidopsis thaliana)
Chr1	26443892	26447075	+	Sdiv_ptg000014l_2920-R	Similar to CYP59: Peptidyl-prolyl cis-trans isomerase CYP59 (Arabidopsis thaliana)
Chr1	26447337	26449409	+	Sdiv_ptg000014l_2921-R	Similar to ARP6: Actin-related protein 6 (Arabidopsis thaliana)
Chr1	26451902	26453141	-	Sdiv_ptg000014l_2922-R	Protein of unknown function
Chr1	26454266	26455572	-	Sdiv_ptg000014l_2923-R	Similar to CBSDUFCH2: DUF21 domain-containing protein At1g55930%2C chloroplastic (Arabidopsis thaliana)
Chr1	26455864	26456719	-	Sdiv_ptg000014l_2924-R	Similar to CBSDUFCH2: DUF21 domain-containing protein At1g55930%2C chloroplastic (Arabidopsis thaliana)
Chr1	26458855	26465340	+	Sdiv_ptg000014l_2925-R	Similar to HAC4: Histone acetyltransferase HAC4 (Arabidopsis thaliana)
Chr1	26467337	26469947	-	Sdiv_ptg000014l_2926-R	Similar to nop56: Nucleolar protein 56 (Schizosaccharomyces pombe (strain 972 / ATCC 24843))
